comment,intent,sentiment,lead_score
"bo nay phoi don gian ma xinh, xinh hon anh",other,positive,51
ad oi minh nhan set do ma form ngoai nho hon mo ta :),complaint,negative,28
tr oi pass acc gia re ai lay ko,spam,negative,7
"giu cho minh mau nay size xl, toi minh chot",buying_intent,neutral,96
da mau nay len live nhin dep hon hinh,other,neutral,44
e shop oi ao so mi mau hong gia bao nhieu,ask_price,neutral,55
tr oi minh dang tham khao them,other,neutral,39
e chan vay mau do size l con gia nao vay,ask_price,neutral,57
troi oi ket ban zalo nhan qua ne :(,spam,negative,6
da gia tui nay nhiu the shop oi,ask_price,neutral,55
"de cuoi tuan minh quay lai chot, dung mau minh can",other,positive,53
"e san pham thuc te duong may bi lech, minh muon doi tra",complaint,negative,12
tu van giup minh giua mau be voi nau nha <3,consult_request,neutral,68
da pass acc gia re ai lay khong,spam,negative,9
e ai can tang follow ib mk nha,spam,negative,7
ui nay con hang ko de minh chuyen khoan luon,buying_intent,positive,92
minh chot dep mau do size l nha,buying_intent,positive,87
"da chan vay lan nay duong may bi lech, shop ho tro giup minh",complaint,negative,14
e cho minh xin anh that cua vay voi :),consult_request,neutral,49
tr oi minh doi kha lau ma cuoi cung lai jao sai mau kkk,complaint,negative,23
cho minh hoi mau nay hop nguoi gay hong,consult_request,neutral,70
hoodie nay chat vai co nong ko shop,consult_request,neutral,64
e nen lay mau nao de phoi do hon vay,consult_request,neutral,72
troi oi shop rep tin nhan kha nhanh,other,neutral,44
ui tuyen ctv online lam tai nha :),spam,negative,3
minh da nhan hang roi ma nhan hang xong hoi that vong,complaint,negative,26
ui moi khui hang ra da thay vai mong hon minh nghi,complaint,negative,30
troi oi mau nay sale con nhieu hong a,ask_price,neutral,75
"troi oi giu cho minh mau nay size xl, toi minh chot",buying_intent,positive,91
"e minh ung mau nay r, shop chot don giup, mac len ton dang",buying_intent,positive,79
"de cuoi tuan minh quay lai chot, mac len ton dang",other,positive,18
e tu van giup minh giua mau kem vs nau nha,consult_request,neutral,70
da ad oi 62kg 1m58 mac size j vua a,consult_request,neutral,56
minh cao 1m70 nang 60kg thi size s vua chua,consult_request,neutral,48
ui anh chup de nhin do,other,neutral,49
troi oi gia dam nay nhiu the sh oi,ask_price,neutral,55
"ui nay con hang hong de minh chuyen khoan luon, dong goi ky :)",buying_intent,neutral,88
"ui san pham thuc te san pham bi ban, minh muon doi tra",complaint,negative,24
ai can tang follow ib minh nha,spam,negative,4
"da cho minh dat giao ve ha noi nha, chat vai on ap kkk",buying_intent,positive,87
tr oi mk doi kha lau ma cuoi cung lai vai mong hon minh nghi,complaint,negative,29
troi oi shop oi ao so mi mau kem ja bao nhieu,ask_price,neutral,71
hoodie nay form rong hay om vay,consult_request,neutral,56
da shop oi 54kg 1m58 mac size gi vua a,consult_request,neutral,56
ui minh da 1m6 52kg thi nen lay size nao <3,consult_request,neutral,47
ui moi khui hang ra da thay ship sai mau,complaint,negative,23
tr oi de lai sdt nhan uu dai soc,spam,negative,6
troi oi dang canh sale nha <3,other,neutral,53
set do nay chat vai co nong khong shop,consult_request,neutral,61
ui vao kenh tiktok ben mk ung ho voi,spam,negative,8
troi oi mk da nhan hang roi ma giao sai mau,complaint,negative,18
de cuoi tuan minh quay lai chot,other,neutral,35
combo nay bao nhieu tien vay shop,ask_price,neutral,69
"e ib mk de dat quan jean voi, form dep that",buying_intent,positive,84
"tr oi bo nay phoi don gian ma xinh, chat vai on ap",other,neutral,29
"da doc comment thay vui ghe, dong goi ky",other,neutral,57
e ad oi dep mau xam gia bao nhieu,ask_price,neutral,60
"e ib minh de dat ao so mi voi, dung mau minh can",buying_intent,positive,87
e vao kenh tiktok ben mk ung ho voi,spam,negative,3
"da anh chup de nhin do, chat vai on ap",other,neutral,51
troi oi con hang thi len don jup minh luon nha,buying_intent,neutral,82
troi oi set do mau trang size m con ja nao vay,ask_price,neutral,73
can keo tuong tac ib gap kkk,spam,negative,3
"ui mau nay len live nhin dep hon hinh, form dep that",other,neutral,53
ui set do mau xanh size s con gia nao vay,ask_price,neutral,66
troi oi gia hoodie nay nhiu the shop oi,ask_price,neutral,61
troi oi xin gia dam chat len vs,ask_price,neutral,76
"e minh mua luon hom nay, thanh toan chuyen khoan dc chu",buying_intent,positive,92
"dep lan nay san pham bi ban, shop ho tro jup minh",complaint,negative,14
ib minh vs dam mau hong gia bn,ask_price,neutral,72
con hang thi len don giup mk luon nha,buying_intent,positive,80
ui can keo tuong tac ib gap,spam,negative,7
pass acc gia re ai lay khong kkk,spam,negative,4
don nay san pham bi ban nen mk khong ung,complaint,negative,10
"san pham thuc te san pham bi ban, mk muon doi tra",complaint,negative,16
"len don jup mk 1 cai vay mau kem, xinh hon anh",buying_intent,positive,84
"e san pham thuc te nhan hang xong hoi that vong, minh muon doi tra",complaint,negative,24
tr oi ai can tang follow ib mk nha,spam,negative,10
minh cao 1m60 nang 45kg thi size m vua chua,consult_request,neutral,56
troi oi hoodie nay tam bao nhieu vay moi nguoi,ask_price,neutral,69
minh doi kha lau ma cuoi cung lai form ngoai nho hon mo ta,complaint,negative,29
troi oi gia dep nay nhiu the shop oi <3,ask_price,neutral,69
troi oi shop oi minh nhan ao khoac ma nhan hang xong hoi that vong,complaint,negative,30
ui combo nay bn tien vay shop,ask_price,neutral,56
"ui san pham thuc te duong may bi lech, minh muon doi tra",complaint,negative,21
da shop rep tin nhan kha nhanh,other,neutral,34
len don giup minh 1 cai ao thun mau be,buying_intent,positive,97
ui doc comment thay vui ghe :),other,neutral,30
troi oi can keo tuong tac ib gap,spam,negative,6
tu van jup mk giua mau den voi xanh nha,consult_request,neutral,63
follow cheo khong moi nguoi <3,spam,negative,6
da that su hoi buc vi jao sai mau,complaint,negative,29
e cho minh dat jao ve can tho nha <3,buying_intent,positive,89
"troi oi mk mua luon hom nay, thanh toan ck duoc chu haha",buying_intent,positive,92
troi oi follow cheo ko moi nguoi haha,spam,negative,4
da ai can tang follow ib minh nha,spam,negative,3
"e minh mua luon hom nay, thanh toan chuyen khoan duoc chu",buying_intent,positive,88
troi oi minh cao 1m52 nang 68kg thi size m vua chua,consult_request,neutral,47
ui minh doi kha lau ma cuoi cung lai nhan hang xong hoi that vong,complaint,negative,6
"chan vay lan nay dong goi so sai, shop ho tro giup minh :(",complaint,negative,12
troi oi len don giup minh 1 cai tui mau do,buying_intent,positive,90
tr oi mac di lam thi chon mau nay on khong,consult_request,neutral,46
troi oi shop oi 50kg 1m60 mac size gi vua a,consult_request,neutral,46
ui nhin feedback thay cung on,other,neutral,24
"len don giup minh 1 cai hoodie mau hong, ung qua troi",buying_intent,neutral,79
da nhin feedback thay cung on kkk,other,positive,20
e tui mau do size xl con gia nao vay,ask_price,neutral,61
troi oi cho mk xin anh that cua dam voi,consult_request,neutral,66
troi oi ib minh de dat hoodie voi,buying_intent,positive,91
vao kenh tiktok ben minh ung ho vs,spam,negative,6
ui can keo tuong tac ib gap :),spam,negative,4
mau nay len live nhin dep hon hinh :(,other,neutral,21
ui vao kenh tiktok ben minh ung ho vs :(,spam,negative,0
mau nay len live nhin dep hon hinh,other,negative,41
"da san pham thuc te san pham bi ban, minh muon doi tra",complaint,negative,21
follow cheo hong moi nguoi <3,spam,negative,1
dang canh sale nha,other,neutral,38
doc comment thay vui ghe,other,positive,28
"da giu cho mk mau nay size s, toi minh chot :(",buying_intent,positive,87
cho minh hoi mau nay hop nguoi gay ko,consult_request,neutral,47
minh doi kha lau ma cuoi cung lai duong may bi lech,complaint,negative,9
ao so mi nay form rong hay om vay,consult_request,neutral,71
troi oi minh doi kha lau ma cuoi cung lai dong goi so sai,complaint,negative,12
mk da 1m6 52kg thi nen lay size nao kkk,consult_request,neutral,61
"troi oi doc comment thay vui ghe, dong goi ky",other,neutral,37
that su hoi buc vi mac len khong giong anh,complaint,negative,30
"chan vay lan nay giao nham size, shop ho tro giup minh",complaint,negative,16
"minh dang tham khao them, dong goi ky",other,negative,56
cho minh xin anh that cua set do voi,consult_request,neutral,61
e cho minh hoi mau nay hop nguoi gay khong,consult_request,neutral,62
cho minh dat ship ve ha noi nha,buying_intent,positive,92
ui ket ban zalo nhan qua ne <3,spam,negative,2
"ui dang canh sale nha, chat vai on ap",other,neutral,34
troi oi minh luu bai nay roi,other,negative,43
"giu cho mk mau nay size s, toi minh chot haha",buying_intent,positive,81
"ui giu cho minh mau nay size m, toi minh chot, chat vai on ap",buying_intent,positive,79
e mk dang tham khao them,other,neutral,34
e cho minh hoi mau nay hop nguoi gay hong,consult_request,neutral,67
troi oi vao kenh tiktok ben minh ung ho voi <3,spam,negative,9
e shop rep tin nhan kha nhanh,other,positive,43
e don nay nhan hang xong hoi that vong nen minh khong ung,complaint,negative,12
troi oi len don giup minh 1 cai giay sneaker mau trang,buying_intent,neutral,88
ad oi ao thun mau be gia bao nhieu voi,ask_price,neutral,67
troi oi de lai sdt nhan uu dai soc kkk,spam,negative,3
